,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Germany,Germany,GPE,0.01697569,0.42385789,en,179.60000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Italy,Italy,GPE,0.02568515,0.49925713,en,29.20000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Austria,Austria,GPE,0.00323093,0.44596656,en,22.80000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
US,US,GPE,-0.21272547,0.51408869,en,13.00000000,,0,,,,,,
Switzerland,Switzerland,GPE,0.05977489,0.41411544,en,12.50000000,,2658434,A,47.00016000,8.01427000,EUROPE,Switzerland,WCE
Alps,Alps,GPE,0.10017361,0.50416667,en,12.00000000,,0,,,,,,
Europe,Europe,LOC,0.10001132,0.48598592,en,8.90000000,,0,,,,,,
the Baltic Sea,the Baltic Sea,LOC,0.01857143,0.34571429,en,7.00000000,,5226143,P,43.76136000,-96.74033000,NORTH-AMERICA,United States,CNA
East Coast,East Coast,LOC,0.01633523,0.14559659,en,6.40000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
USA,USA,GPE,-0.16163004,0.41274420,en,6.00000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
France,France,GPE,0.03333333,0.30000000,en,6.00000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Denmark,Denmark,GPE,0.06120527,0.40913371,en,5.90000000,4010877-6,2623032,A,56.00000000,10.00000000,EUROPE,Denmark,NEU
Bavaria,Bavaria,GPE,0.00649351,0.35795455,en,5.60000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Saxony,Saxony,GPE,-0.07783019,0.34669811,en,5.30000000,4042226-4,2862926,A,52.83333000,9.16667000,EUROPE,Germany,WCE
Berlin,Berlin,GPE,0.00157233,0.74371069,en,5.30000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Tyrol,Tyrol,GPE,-0.37595238,0.41101190,en,5.00000000,4060207-2,2763587,L,47.00000000,11.50000000,EUROPE,Italy,WCE
New York,New York,GPE,0.06930824,0.63676120,en,4.90000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Ukraine,Ukraine,GPE,-0.03611111,0.27129630,en,4.50000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Canada,Canada,GPE,-0.04166667,0.73214286,en,4.20000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Baden-Württemberg,Baden-Württemberg,GPE,0.11666667,0.38174603,en,4.20000000,4004176-1,2953481,A,48.50000000,9.00000000,EUROPE,Germany,WCE
Mediterranean,Mediterranean,LOC,-0.03861789,0.27032520,en,4.10000000,,0,,,,,,
