,phrase,label,sentiment,subjectivity,language,count
NHL,NHL,ORG,0.07621951219512196,0.42276422764227645,en,8.2
The German Weather Service,The German Weather Service,ORG,0.034624413145539906,0.5203442879499218,en,7.1
Elli,Elli,ORG,-0.2717917675544794,0.5623486682808716,en,5.9
DWD,DWD,ORG,0.04616161616161617,0.2764646464646464,en,5.0
CDU,CDU,ORG,0.08363636363636363,0.26,en,5.0
the German Weather Service,the German Weather Service,ORG,0.071875,0.1,en,4.0
White Christmas,White Christmas,ORG,0.1323529411764706,0.3431372549019608,en,3.4000000000000004
DFB,DFB,ORG,0.4090909090909091,0.5757575757575758,en,3.3
EU,EU,ORG,0.21666666666666667,0.18333333333333335,en,3.0
Deutsche Bahn,Deutsche Bahn,ORG,0.06,0.0,en,2.5
German Weather Service,German Weather Service,ORG,-0.06666666666666667,0.17333333333333334,en,2.5
Cozy,Cozy,ORG,-0.2105263157894737,0.32894736842105265,en,1.9
BER,BER,ORG,0.0,0.0,en,1.8
ntv,ntv,ORG,0.3333333333333333,0.06944444444444445,en,1.8
Germany Blog,Germany Blog,ORG,-0.5555555555555556,0.0,en,1.8
Storm Elli,Storm Elli,ORG,-0.024691358024691364,0.2469135802469136,en,1.8
LNG,LNG,ORG,0.0,0.0,en,1.7
ORF,ORF,ORG,0.0273109243697479,0.4117647058823529,en,1.7
NRW,NRW,ORG,0.07843137254901966,0.4705882352941177,en,1.7
Splügen,Splügen,ORG,0.243006993006993,0.4895104895104895,en,1.3
Baden-Württemberg,Baden-Württemberg,ORG,-0.0641025641025641,0.0,en,1.3
Liebenau-Gugu,Liebenau-Gugu,ORG,-0.3461538461538461,0.07692307692307693,en,1.3
FAZ,FAZ,ORG,-0.04326923076923076,0.23076923076923075,en,1.3
FDP,FDP,ORG,0.0,0.0,en,1.2
Garmisch-Partenkirchen,Garmisch-Partenkirchen,ORG,0.0,0.0,en,1.0
Berlin Day & Power,Berlin Day & Power,ORG,0.0,0.0,en,1.0
Interior,Interior,ORG,0.2,0.0,en,1.0
CH,CH,ORG,0.0,0.0,en,1.0
Fußach,Fußach,ORG,0.0,0.0,en,1.0
teltarif.de,teltarif.de,ORG,0.0,0.0,en,1.0
Höchst,Höchst,ORG,0.0,0.0,en,1.0
Mobile World Congress,Mobile World Congress,ORG,0.0,0.0,en,1.0
The Federal Court of Justice,The Federal Court of Justice,ORG,0.0,0.0,en,1.0
Draisaitl and Co.,Draisaitl and Co.,ORG,-0.1,0.0,en,1.0
Abor & Tynna,Abor & Tynna,ORG,0.0,0.0,en,1.0
CSU,CSU,ORG,0.06818181818181818,0.0,en,1.0
The Austrian Transport Club,The Austrian Transport Club,ORG,0.0,0.0,en,1.0
